URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow
1481929,88.86997957794418,2938.0,2611.0,2588.0
1481938,85.44274455261937,2157.0,1843.0,1813.0
1481958,83.90901432181971,2374.0,1992.0,1970.0
1481960,87.38989337042187,2157.0,1885.0,1858.0
1481967,74.53118185782817,2293.0,1709.0,1690.0
1482032,89.47368421052632,19.0,17.0,17.0
1482054,78.73684210526316,2375.0,1870.0,1857.0
1482068,79.89601386481803,2308.0,1844.0,1822.0
1482072,81.62559446606139,2313.0,1888.0,1862.0
1482073,77.18715393133998,2709.0,2091.0,2071.0
1482081,81.50483396385036,2379.0,1939.0,1916.0
1482082,82.0186598812553,2358.0,1934.0,1919.0
1482142,77.17435688035933,2449.0,1890.0,1874.0
1482143,81.4453125,2560.0,2085.0,2078.0
1482148,83.45384942577626,2351.0,1962.0,1943.0
1482190,80.08733624454149,2290.0,1834.0,1817.0
1482318,24.074074074074076,54.0,13.0,13.0
1482330,30.952380952380956,42.0,13.0,13.0
1482402,21.62162162162162,111.0,24.0,23.0
1482446,100.0,12.0,12.0,12.0
1482448,20.833333333333336,24.0,5.0,5.0
1482567,77.86384019567876,2453.0,1910.0,1891.0
1482674,18.81188118811881,101.0,19.0,19.0
1482680,86.73390224980605,2578.0,2236.0,2214.0
1482681,85.29176658673062,2502.0,2134.0,2109.0
1482684,85.23664785062961,2303.0,1963.0,1937.0
1482685,82.5536809815951,2608.0,2153.0,2126.0
1482686,82.09876543209876,2592.0,2128.0,2111.0
1482687,85.93205574912892,2296.0,1973.0,1954.0
1482688,84.56289978678039,2345.0,1983.0,1964.0
1482694,88.09631985461154,2201.0,1939.0,1928.0
1482698,85.2054794520548,2190.0,1866.0,1850.0
1482699,87.4818753020783,2069.0,1810.0,1791.0
1482700,82.75186201489612,2551.0,2111.0,2087.0
1482701,86.86440677966102,2360.0,2050.0,2021.0
1482702,90.02384737678855,2516.0,2265.0,2237.0
1482705,80.47030689517736,2509.0,2019.0,1992.0
1482706,85.06317689530685,2216.0,1885.0,1864.0
1482708,82.6836840289755,2899.0,2397.0,2379.0
1482719,86.4247311827957,2232.0,1929.0,1914.0
1482721,82.56294626080421,2661.0,2197.0,2164.0
1482724,88.7780548628429,2406.0,2136.0,2116.0
1482725,89.93788819875776,2415.0,2172.0,2149.0
1482736,86.45492760392341,2141.0,1851.0,1822.0
1482737,81.52789005658853,2474.0,2017.0,2006.0
1482740,88.52459016393442,2074.0,1836.0,1812.0
1482754,84.5414201183432,2704.0,2286.0,2259.0
1482755,85.60434585785424,2209.0,1891.0,1866.0
1482762,88.3949461862424,2137.0,1889.0,1865.0
1482769,85.24280999528524,2121.0,1808.0,1789.0
1482772,89.44281524926686,2387.0,2135.0,2110.0
1482775,84.90497076023392,2736.0,2323.0,2290.0
1482777,81.13863537592351,2301.0,1867.0,1853.0
1482785,87.3978494623656,2325.0,2032.0,2010.0
1482792,85.53754266211604,2344.0,2005.0,1984.0
1482803,80.3892765332354,2723.0,2189.0,2165.0
1482804,84.90328006728343,2378.0,2019.0,1995.0
1482805,79.98460354118552,2598.0,2078.0,2051.0
1482812,81.77606177606178,2590.0,2118.0,2082.0
1482816,78.86658795749705,2541.0,2004.0,1985.0
1482817,86.22540250447227,2236.0,1928.0,1912.0
1482818,89.35978358881876,2218.0,1982.0,1959.0
1482819,83.9706450366937,2589.0,2174.0,2146.0
1482821,86.26548672566372,2825.0,2437.0,2410.0
1482824,84.35171385991057,2684.0,2264.0,2237.0
1482839,84.20382165605096,2355.0,1983.0,1969.0
1482840,83.29550612800726,2203.0,1835.0,1808.0
1482843,85.15761821366024,2284.0,1945.0,1929.0
1482844,84.82555695670449,2379.0,2018.0,1997.0
1482849,89.31807343824512,2097.0,1873.0,1850.0
1482852,88.88888888888889,2421.0,2152.0,2125.0
1482857,84.93317132442284,2469.0,2097.0,2069.0
1482860,79.3061224489796,2450.0,1943.0,1930.0
1482869,85.14104092173223,2517.0,2143.0,2112.0
1482870,81.06092001657687,2413.0,1956.0,1934.0
1482871,87.06766917293233,3325.0,2895.0,2857.0
1482883,88.13327247832041,2191.0,1931.0,1910.0
1482890,79.72736805312827,2861.0,2281.0,2254.0
1482894,85.14636790748102,2767.0,2356.0,2334.0
1482896,81.59845310989365,3103.0,2532.0,2504.0
1482897,79.28546891102714,2911.0,2308.0,2286.0
1482899,83.71890004364906,2291.0,1918.0,1891.0
1482900,83.60297332750328,2287.0,1912.0,1899.0
1482901,85.33194299617656,2877.0,2455.0,2430.0
1482903,87.04225352112675,2130.0,1854.0,1836.0
1482905,88.57816711590296,2968.0,2629.0,2601.0
1482906,85.6981981981982,2664.0,2283.0,2255.0
1482909,88.82294757665677,3033.0,2694.0,2657.0
1482910,89.55908289241623,2835.0,2539.0,2511.0
1482913,79.40357852882704,2515.0,1997.0,1985.0
1482920,85.2768456375839,2384.0,2033.0,2008.0
1482925,83.17503392130257,2211.0,1839.0,1823.0
1482928,86.43106457242583,2292.0,1981.0,1953.0
1482929,87.49049429657795,2630.0,2301.0,2275.0
1482936,85.40977581771408,2721.0,2324.0,2295.0
1482948,100.0,56.0,56.0,56.0
1482958,86.41798182687708,2091.0,1807.0,1785.0
1482965,90.27027027027027,2220.0,2004.0,1978.0
1482982,86.98884758364312,2152.0,1872.0,1849.0
1483004,86.38132295719845,2827.0,2442.0,2407.0
1483006,84.17095370003958,2527.0,2127.0,2106.0
1483023,84.40366972477065,2180.0,1840.0,1818.0
1483024,86.75974963890226,2077.0,1802.0,1781.0
1483029,84.13943355119827,2295.0,1931.0,1912.0
1483040,81.74157303370787,2492.0,2037.0,2013.0
1483044,87.7541798463624,2213.0,1942.0,1928.0
1483058,84.80074142724744,2158.0,1830.0,1809.0
1483090,79.42439862542955,2328.0,1849.0,1824.0
1483135,88.31569664902999,2268.0,2003.0,1986.0
1483138,78.66955892986262,2766.0,2176.0,2156.0
1483139,78.96066402020932,2771.0,2188.0,2164.0
1483144,78.486529318542,2524.0,1981.0,1959.0
1483146,79.87039287160795,2469.0,1972.0,1949.0
1483147,79.10817506193229,2422.0,1916.0,1889.0
1483152,77.41496598639456,2940.0,2276.0,2256.0
1483154,79.43816970750073,3453.0,2743.0,2710.0
1483158,81.78720181749337,2641.0,2160.0,2138.0
1483164,84.86970050563983,2571.0,2182.0,2163.0
1483166,81.94444444444444,2808.0,2301.0,2282.0
1483167,77.89915966386555,2380.0,1854.0,1832.0
1483168,79.59878879636639,2642.0,2103.0,2085.0
1483170,79.12871287128714,2525.0,1998.0,1968.0
1483173,79.13429522752497,2703.0,2139.0,2118.0
1483175,26.262626262626267,99.0,26.0,26.0
1483177,92.6829268292683,41.0,38.0,36.0
1483178,100.0,16.0,16.0,16.0
