URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow,liczba_kart_niewykorzystanych,liczba_kart_niewaznych,liczba_glosow_niewaznych,Sklearn_AE_Reconstruction_Error
1475410,76.97594501718214,1455.0,1120.0,1100.0,291.0,0.0,20.0,0.37959523827968017
1475437,23.809523809523807,63.0,15.0,14.0,44.0,0.0,1.0,0.9808051796122678
1475500,36.507936507936506,126.0,46.0,46.0,85.0,0.0,0.0,0.38853122299536874
1475513,42.10526315789473,95.0,40.0,36.0,52.0,0.0,4.0,0.4650268625494908
1475514,100.0,18.0,18.0,15.0,4.0,0.0,3.0,0.4318915993913556
1475540,33.33333333333333,30.0,10.0,9.0,25.0,0.0,1.0,0.648376610947415
1475552,28.57142857142857,63.0,18.0,17.0,55.0,0.0,1.0,0.749633945218792
1475601,25.0,56.0,14.0,13.0,93.0,0.0,1.0,0.7780337107785436
1475610,71.90868738110336,1577.0,1134.0,1114.0,449.0,0.0,20.0,0.36580658017709095
1475630,35.294117647058826,51.0,18.0,18.0,39.0,0.0,0.0,0.51261552678013
1475681,37.634408602150536,93.0,35.0,34.0,40.0,0.0,1.0,0.48032608825329026
1475695,17.28395061728395,81.0,14.0,11.0,67.0,0.0,3.0,1.3383547698124125
1475696,23.52941176470588,34.0,8.0,8.0,27.0,0.0,0.0,0.9988612842536806
1475725,29.629629629629623,27.0,8.0,7.0,73.0,0.0,1.0,0.6542747837299137
1475779,40.50632911392405,158.0,64.0,60.0,104.0,0.0,4.0,0.41268801399603866
1475831,25.86206896551724,58.0,15.0,15.0,42.0,0.0,0.0,0.8527814551892661
