URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow,liczba_kart_niewykorzystanych,liczba_kart_niewaznych,liczba_glosow_niewaznych,AE_Reconstruction_Error
1406570,52.98382598996096,1793.0,950.0,937.0,837.0,0.0,12.0,1.0083865373553322
1434300,83.33333333333334,210.0,175.0,172.0,276.0,0.0,3.0,0.536076450754633
1406620,53.717201166180764,1372.0,737.0,728.0,606.0,0.0,9.0,0.5266098257533501
1406680,61.64383561643836,438.0,270.0,263.0,154.0,1.0,6.0,0.5515258400656092
1436917,21.951219512195124,82.0,18.0,17.0,71.0,0.0,1.0,0.5422692930897853
1434305,19.587628865979383,97.0,19.0,15.0,76.0,0.0,4.0,0.8900264575413027
1434310,16.842105263157894,95.0,16.0,16.0,82.0,0.0,0.0,0.6566540529058715
1406927,59.54279638490165,1881.0,1120.0,1119.0,731.0,0.0,1.0,0.5582469255863857
1407160,59.148446490218646,1738.0,1028.0,1027.0,678.0,0.0,1.0,0.4565929239005561
1434319,71.21212121212122,66.0,47.0,40.0,19.0,0.0,7.0,1.0602999286717394
1434322,19.565217391304348,46.0,9.0,9.0,46.0,0.0,0.0,0.648896997929224
1407345,69.18819188191881,542.0,375.0,369.0,149.0,0.0,6.0,0.4443112952268438
1434323,67.9745493107105,943.0,641.0,636.0,745.0,0.0,5.0,0.6671535594260832
1434324,21.27659574468085,47.0,10.0,10.0,82.0,0.0,0.0,0.5155792626547167
1407436,54.26356589147287,387.0,210.0,204.0,158.0,0.0,6.0,0.5360822165690613
1434333,100.0,18.0,18.0,13.0,56.0,0.0,5.0,1.1072302667525946
1407570,58.909090909090914,825.0,486.0,478.0,303.0,0.0,8.0,0.679418821693389
1434338,46.089385474860336,358.0,165.0,156.0,319.0,0.0,9.0,1.2402270227281373
1434342,14.814814814814811,81.0,12.0,9.0,94.0,0.0,3.0,0.8455838698499758
1407696,75.28373266078184,793.0,597.0,590.0,171.0,0.0,7.0,0.50531952664855
1407710,75.05319148936171,1880.0,1411.0,1410.0,392.0,0.0,1.0,0.44405815880720373
1407716,73.15463917525773,2425.0,1774.0,1760.0,548.0,0.0,14.0,1.1300484683330247
1407762,56.32411067193676,506.0,285.0,279.0,222.0,0.0,6.0,0.4365585389230898
1434344,21.27659574468085,94.0,20.0,20.0,97.0,0.0,0.0,0.49637812269701026
1434346,21.518987341772156,79.0,17.0,16.0,116.0,0.0,1.0,0.4516651074267687
1407816,52.57731958762887,679.0,357.0,350.0,306.0,0.0,7.0,0.531691665442424
1407882,61.59947124917383,1513.0,932.0,923.0,552.0,0.0,9.0,0.4408100576857
1436504,20.689655172413797,29.0,6.0,6.0,23.0,0.0,0.0,0.6667661129107664
1408015,65.83333333333333,720.0,474.0,467.0,221.0,0.0,7.0,0.5333179642696263
1408040,76.17834394904459,2355.0,1794.0,1792.0,440.0,0.0,2.0,0.5873159501731886
1408055,75.46428571428572,2800.0,2113.0,2105.0,356.0,0.0,7.0,0.5217271383234414
1408136,71.16724738675958,2296.0,1634.0,1630.0,585.0,0.0,2.0,0.4958810940760085
1408185,72.16764898493778,1527.0,1102.0,1093.0,411.0,0.0,9.0,0.4404025229377605
1434368,98.59154929577466,71.0,70.0,68.0,22.0,0.0,2.0,0.4903209273417183
1434369,10.0,30.0,3.0,3.0,33.0,0.0,0.0,1.0451056996808605
1434370,23.684210526315788,76.0,18.0,18.0,71.0,0.0,0.0,0.48349768381148756
1466766,94.5054945054945,91.0,86.0,85.0,583.0,0.0,1.0,2.1355200480036687
1408259,60.4287369640788,1726.0,1043.0,1033.0,674.0,0.0,10.0,0.5192594699790516
1434373,54.92424242424242,264.0,145.0,144.0,648.0,0.0,1.0,0.6221745822979964
1434374,64.37847866419295,1078.0,694.0,687.0,623.0,4.0,3.0,0.43799230472635237
1408300,72.16386554621849,1904.0,1374.0,1368.0,113.0,0.0,6.0,0.4952175607350164
1408358,73.96245059288538,2024.0,1497.0,1496.0,399.0,0.0,1.0,0.5355970006298334
1408375,61.78442496132027,1939.0,1198.0,1197.0,726.0,0.0,1.0,0.5902060295024766
1408378,76.94704049844236,1926.0,1482.0,1482.0,515.0,0.0,0.0,0.7651999914299834
1434382,16.176470588235293,68.0,11.0,11.0,131.0,0.0,0.0,0.5575116791844069
1434386,92.7710843373494,249.0,231.0,231.0,2316.0,0.0,0.0,18.486018822359654
1408391,57.821782178217816,1515.0,876.0,876.0,652.0,0.0,0.0,0.5643848756503829
1408397,49.96610169491525,1475.0,737.0,737.0,737.0,0.0,0.0,0.5943359270249814
1434391,73.30357142857142,1120.0,821.0,797.0,639.0,0.0,24.0,8.855562777395956
1408447,60.7085346215781,621.0,377.0,370.0,234.0,0.0,7.0,0.582689433491446
1408474,37.82051282051282,156.0,59.0,54.0,61.0,0.0,5.0,0.6921170170254244
1434393,65.33333333333333,75.0,49.0,44.0,32.0,0.0,5.0,0.5166009078007491
